commit,date,file_type,path,package,project,added_lines,commit_size,commit_msg,change_type,commit_index,month
c45413279a7e1eec230516ec1f8efd5456c6215e,2017-01-18 13:22:45,prod,commons-numbers-complex/src/main/java/org/apache/commons/numbers/complex/Precision.java,org/apache/commons/numbers/complex,commons-numbers-complex,128,35,"Multimodule project setup.

Created ""core"", ""complex"" and ""quaternion"" modules.",ADD,9,2017-01
c45413279a7e1eec230516ec1f8efd5456c6215e,2017-01-18 13:22:45,prod,commons-numbers-complex/src/main/java/org/apache/commons/numbers/complex/RootsOfUnity.java,org/apache/commons/numbers/complex,commons-numbers-complex,116,35,"Multimodule project setup.

Created ""core"", ""complex"" and ""quaternion"" modules.",ADD,9,2017-01
c45413279a7e1eec230516ec1f8efd5456c6215e,2017-01-18 13:22:45,prod,commons-numbers-complex/src/main/java/org/apache/commons/numbers/complex/package-info.java,org/apache/commons/numbers/complex,commons-numbers-complex,20,35,"Multimodule project setup.

Created ""core"", ""complex"" and ""quaternion"" modules.",ADD,9,2017-01
c45413279a7e1eec230516ec1f8efd5456c6215e,2017-01-18 13:22:45,test,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/ComplexTest.java,org/apache/commons/numbers/complex,commons-numbers-complex,1477,35,"Multimodule project setup.

Created ""core"", ""complex"" and ""quaternion"" modules.",ADD,9,2017-01
c45413279a7e1eec230516ec1f8efd5456c6215e,2017-01-18 13:22:45,test,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/ComplexUtilsTest.java,org/apache/commons/numbers/complex,commons-numbers-complex,475,35,"Multimodule project setup.

Created ""core"", ""complex"" and ""quaternion"" modules.",ADD,9,2017-01
c45413279a7e1eec230516ec1f8efd5456c6215e,2017-01-18 13:22:45,test,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/RootsOfUnityTest.java,org/apache/commons/numbers/complex,commons-numbers-complex,84,35,"Multimodule project setup.

Created ""core"", ""complex"" and ""quaternion"" modules.",ADD,9,2017-01
c45413279a7e1eec230516ec1f8efd5456c6215e,2017-01-18 13:22:45,test,commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/TestUtils.java,org/apache/commons/numbers/complex,commons-numbers-complex,409,35,"Multimodule project setup.

Created ""core"", ""complex"" and ""quaternion"" modules.",ADD,9,2017-01
c45413279a7e1eec230516ec1f8efd5456c6215e,2017-01-18 13:22:45,prod,commons-numbers-core/src/main/java/org/apache/commons/numbers/core/Precision.java,org/apache/commons/numbers/core,commons-numbers-core,598,35,"Multimodule project setup.

Created ""core"", ""complex"" and ""quaternion"" modules.",ADD,9,2017-01
c45413279a7e1eec230516ec1f8efd5456c6215e,2017-01-18 13:22:45,test,commons-numbers-core/src/test/java/org/apache/commons/numbers/core/PrecisionTest.java,org/apache/commons/numbers/core,commons-numbers-core,547,35,"Multimodule project setup.

Created ""core"", ""complex"" and ""quaternion"" modules.",ADD,9,2017-01
c45413279a7e1eec230516ec1f8efd5456c6215e,2017-01-18 13:22:45,test,commons-numbers-core/src/test/java/org/apache/commons/numbers/core/TestUtils.java,org/apache/commons/numbers/core,commons-numbers-core,320,35,"Multimodule project setup.

Created ""core"", ""complex"" and ""quaternion"" modules.",ADD,9,2017-01
c45413279a7e1eec230516ec1f8efd5456c6215e,2017-01-18 13:22:45,prod,commons-numbers-quaternion/src/main/java/org/apache/commons/numbers/quaternion/Quaternion.java,org/apache/commons/numbers/quaternion,commons-numbers-quaternion,455,35,"Multimodule project setup.

Created ""core"", ""complex"" and ""quaternion"" modules.",ADD,9,2017-01
c45413279a7e1eec230516ec1f8efd5456c6215e,2017-01-18 13:22:45,prod,commons-numbers-quaternion/src/main/java/org/apache/commons/numbers/quaternion/package-info.java,org/apache/commons/numbers/quaternion,commons-numbers-quaternion,20,35,"Multimodule project setup.

Created ""core"", ""complex"" and ""quaternion"" modules.",ADD,9,2017-01
c45413279a7e1eec230516ec1f8efd5456c6215e,2017-01-18 13:22:45,test,commons-numbers-quaternion/src/test/java/org/apache/commons/numbers/quaternion/QuaternionTest.java,org/apache/commons/numbers/quaternion,commons-numbers-quaternion,456,35,"Multimodule project setup.

Created ""core"", ""complex"" and ""quaternion"" modules.",ADD,9,2017-01
d93af7790f25beaf6fb6c81b2f1e95fc6711b525,2017-01-20 12:53:33,prod,commons-numbers-complex/src/main/java/org/apache/commons/numbers/complex/Complex.java,org/apache/commons/numbers/complex,commons-numbers-complex,4,1,Javadoc.,MODIFY,10,2017-01
539279ce0e9de7c68b149afa0a908b72225fd8d8,2017-01-20 14:02:31,prod,commons-numbers-complex/src/main/java/org/apache/commons/numbers/complex/Complex.java,org/apache/commons/numbers/complex,commons-numbers-complex,3,1,"Use ""date"" convention for assigning serial version identifier.",MODIFY,11,2017-01
b797559e4141da1f649f0594c28b06ce6b338bcb,2017-01-20 14:09:22,prod,commons-numbers-complex/src/main/java/org/apache/commons/numbers/complex/Complex.java,org/apache/commons/numbers/complex,commons-numbers-complex,0,1,"Removed methods that do not belong in class ""Complex"".

Similar methods are defined in class ""Precision"" (module ""commons-numbers-core"").",MODIFY,12,2017-01
b4907a33d771c60597c46c56d33a279184e76684,2017-01-20 14:15:39,prod,commons-numbers-complex/src/main/java/org/apache/commons/numbers/complex/Complex.java,org/apache/commons/numbers/complex,commons-numbers-complex,1,1,Method should not be part of the public API.,MODIFY,13,2017-01
